"county"	"tract"	"sldl12"	"cntyname"	"LandSQMI"	"afact"
"county"	"2010 Tract"	"sldl12"	"cntyname"	"Land Area Sq Mls"	"tract to sldl12 alloc factor"
"06001"	"4001.00"	"015"	"Alameda CA"	2.657	1 
"06001"	"4002.00"	"015"	"Alameda CA"	0.23	1 
"06001"	"4003.00"	"015"	"Alameda CA"	0.427	1 
"06001"	"4004.00"	"015"	"Alameda CA"	0.272	1 
"06001"	"4005.00"	"015"	"Alameda CA"	0.227	1 
"06001"	"4006.00"	"015"	"Alameda CA"	0.115	1 
"06001"	"4007.00"	"015"	"Alameda CA"	0.34	1 
"06001"	"4008.00"	"015"	"Alameda CA"	0.268	1 
"06001"	"4009.00"	"015"	"Alameda CA"	0.164	1 
"06001"	"4010.00"	"015"	"Alameda CA"	0.446	1 
"06001"	"4011.00"	"015"	"Alameda CA"	0.342	1 
"06001"	"4012.00"	"015"	"Alameda CA"	0.258	1 
"06001"	"4013.00"	"015"	"Alameda CA"	0.017	0.051 
"06001"	"4013.00"	"018"	"Alameda CA"	0.314	0.949 
"06001"	"4014.00"	"015"	"Alameda CA"	0.094	0.324 
"06001"	"4014.00"	"018"	"Alameda CA"	0.197	0.676 
"06001"	"4015.00"	"015"	"Alameda CA"	0.027	0.147 
"06001"	"4015.00"	"018"	"Alameda CA"	0.154	0.853 
"06001"	"4016.00"	"018"	"Alameda CA"	0.246	1 
"06001"	"4017.00"	"018"	"Alameda CA"	2.24	1 
"06001"	"4018.00"	"018"	"Alameda CA"	0.115	1 
"06001"	"4022.00"	"018"	"Alameda CA"	0.275	1 
"06001"	"4024.00"	"018"	"Alameda CA"	0.13	1 
"06001"	"4025.00"	"018"	"Alameda CA"	0.141	1 
"06001"	"4026.00"	"018"	"Alameda CA"	0.123	1 
"06001"	"4027.00"	"018"	"Alameda CA"	0.154	1 
"06001"	"4028.00"	"018"	"Alameda CA"	0.154	1 
"06001"	"4029.00"	"018"	"Alameda CA"	0.15	1 
"06001"	"4030.00"	"018"	"Alameda CA"	0.136	1 
"06001"	"4031.00"	"018"	"Alameda CA"	0.134	1 
"06001"	"4033.00"	"018"	"Alameda CA"	0.358	1 
"06001"	"4034.00"	"018"	"Alameda CA"	0.255	1 
"06001"	"4035.01"	"015"	"Alameda CA"	0.045	0.175 
"06001"	"4035.01"	"018"	"Alameda CA"	0.212	0.825 
"06001"	"4035.02"	"018"	"Alameda CA"	0.07	1 
"06001"	"4036.00"	"018"	"Alameda CA"	0.151	1 
"06001"	"4037.01"	"018"	"Alameda CA"	0.067	1 
"06001"	"4037.02"	"018"	"Alameda CA"	0.078	1 
"06001"	"4038.00"	"018"	"Alameda CA"	0.253	1 
"06001"	"4039.00"	"018"	"Alameda CA"	0.191	1 
"06001"	"4040.00"	"015"	"Alameda CA"	0.143	1 
"06001"	"4041.01"	"015"	"Alameda CA"	0.221	1 
"06001"	"4041.02"	"015"	"Alameda CA"	0.089	1 
"06001"	"4042.00"	"015"	"Alameda CA"	1.054	1 
"06001"	"4043.00"	"015"	"Alameda CA"	0.707	1 
"06001"	"4044.00"	"015"	"Alameda CA"	1.593	1 
"06001"	"4045.01"	"015"	"Alameda CA"	0.428	1 
"06001"	"4045.02"	"015"	"Alameda CA"	1.186	1 
"06001"	"4046.00"	"015"	"Alameda CA"	1.887	1 
"06001"	"4047.00"	"015"	"Alameda CA"	0.466	1 
"06001"	"4048.00"	"015"	"Alameda CA"	0.033	0.135 
"06001"	"4048.00"	"018"	"Alameda CA"	0.21	0.865 
"06001"	"4049.00"	"018"	"Alameda CA"	0.391	1 
"06001"	"4050.00"	"018"	"Alameda CA"	0.313	1 
"06001"	"4051.00"	"018"	"Alameda CA"	0.489	1 
"06001"	"4052.00"	"018"	"Alameda CA"	0.33	1 
"06001"	"4053.01"	"018"	"Alameda CA"	0.088	1 
"06001"	"4053.02"	"018"	"Alameda CA"	0.078	1 
"06001"	"4054.01"	"018"	"Alameda CA"	0.121	1 
"06001"	"4054.02"	"018"	"Alameda CA"	0.11	1 
"06001"	"4055.00"	"018"	"Alameda CA"	0.159	1 
"06001"	"4056.00"	"018"	"Alameda CA"	0.166	1 
"06001"	"4057.00"	"018"	"Alameda CA"	0.211	1 
"06001"	"4058.00"	"018"	"Alameda CA"	0.2	1 
"06001"	"4059.01"	"018"	"Alameda CA"	0.175	1 
"06001"	"4059.02"	"018"	"Alameda CA"	0.188	1 
"06001"	"4060.00"	"018"	"Alameda CA"	0.816	1 
"06001"	"4061.00"	"018"	"Alameda CA"	0.711	1 
"06001"	"4062.01"	"018"	"Alameda CA"	0.158	1 
"06001"	"4062.02"	"018"	"Alameda CA"	0.151	1 
"06001"	"4063.00"	"018"	"Alameda CA"	0.188	1 
"06001"	"4064.00"	"018"	"Alameda CA"	0.188	1 
"06001"	"4065.00"	"018"	"Alameda CA"	0.288	1 
"06001"	"4066.01"	"018"	"Alameda CA"	0.289	1 
"06001"	"4066.02"	"018"	"Alameda CA"	0.16	1 
"06001"	"4067.00"	"015"	"Alameda CA"	0.371	0.571 
"06001"	"4067.00"	"018"	"Alameda CA"	0.279	0.429 
"06001"	"4068.00"	"018"	"Alameda CA"	0.352	1 
"06001"	"4069.00"	"018"	"Alameda CA"	0.337	1 
"06001"	"4070.00"	"018"	"Alameda CA"	0.333	1 
"06001"	"4071.01"	"018"	"Alameda CA"	0.143	1 
"06001"	"4071.02"	"018"	"Alameda CA"	0.255	1 
"06001"	"4072.00"	"018"	"Alameda CA"	0.276	1 
"06001"	"4073.00"	"018"	"Alameda CA"	0.915	1 
"06001"	"4074.00"	"018"	"Alameda CA"	0.197	1 
"06001"	"4075.00"	"018"	"Alameda CA"	0.191	1 
"06001"	"4076.00"	"018"	"Alameda CA"	0.395	1 
"06001"	"4077.00"	"018"	"Alameda CA"	0.355	1 
"06001"	"4078.00"	"018"	"Alameda CA"	0.477	1 
"06001"	"4079.00"	"018"	"Alameda CA"	0.424	1 
"06001"	"4080.00"	"015"	"Alameda CA"	0.203	0.275 
"06001"	"4080.00"	"018"	"Alameda CA"	0.535	0.725 
"06001"	"4081.00"	"018"	"Alameda CA"	3.389	1 
"06001"	"4082.00"	"018"	"Alameda CA"	0.348	1 
"06001"	"4083.00"	"018"	"Alameda CA"	0.588	1 
"06001"	"4084.00"	"018"	"Alameda CA"	0.21	1 
"06001"	"4085.00"	"018"	"Alameda CA"	0.321	1 
"06001"	"4086.00"	"018"	"Alameda CA"	0.41	1 
"06001"	"4087.00"	"018"	"Alameda CA"	0.437	1 
"06001"	"4088.00"	"018"	"Alameda CA"	0.465	1 
"06001"	"4089.00"	"018"	"Alameda CA"	0.31	1 
"06001"	"4090.00"	"018"	"Alameda CA"	6.375	1 
"06001"	"4091.00"	"018"	"Alameda CA"	0.189	1 
"06001"	"4092.00"	"018"	"Alameda CA"	0.279	1 
"06001"	"4093.00"	"018"	"Alameda CA"	0.416	1 
"06001"	"4094.00"	"018"	"Alameda CA"	0.484	1 
"06001"	"4095.00"	"018"	"Alameda CA"	0.323	1 
"06001"	"4096.00"	"018"	"Alameda CA"	0.289	1 
"06001"	"4097.00"	"018"	"Alameda CA"	0.313	1 
"06001"	"4098.00"	"018"	"Alameda CA"	0.691	1 
"06001"	"4099.00"	"018"	"Alameda CA"	1.737	1 
"06001"	"4100.00"	"018"	"Alameda CA"	2.619	1 
"06001"	"4101.00"	"018"	"Alameda CA"	0.303	1 
"06001"	"4102.00"	"018"	"Alameda CA"	0.226	1 
"06001"	"4103.00"	"018"	"Alameda CA"	0.223	1 
"06001"	"4104.00"	"018"	"Alameda CA"	0.273	1 
"06001"	"4105.00"	"018"	"Alameda CA"	0.28	1 
"06001"	"4201.00"	"015"	"Alameda CA"	0.213	1 
"06001"	"4202.00"	"015"	"Alameda CA"	0.179	1 
"06001"	"4203.00"	"015"	"Alameda CA"	0.503	1 
"06001"	"4204.00"	"015"	"Alameda CA"	0.428	1 
"06001"	"4205.00"	"015"	"Alameda CA"	0.161	1 
"06001"	"4206.00"	"015"	"Alameda CA"	0.305	1 
"06001"	"4211.00"	"015"	"Alameda CA"	0.288	1 
"06001"	"4212.00"	"015"	"Alameda CA"	0.523	1 
"06001"	"4213.00"	"015"	"Alameda CA"	0.427	1 
"06001"	"4214.00"	"015"	"Alameda CA"	0.183	1 
"06001"	"4215.00"	"015"	"Alameda CA"	0.614	1 
"06001"	"4216.00"	"015"	"Alameda CA"	0.514	1 
"06001"	"4217.00"	"015"	"Alameda CA"	0.222	1 
"06001"	"4218.00"	"015"	"Alameda CA"	0.204	1 
"06001"	"4219.00"	"015"	"Alameda CA"	0.331	1 
"06001"	"4220.00"	"015"	"Alameda CA"	1.737	1 
"06001"	"4221.00"	"015"	"Alameda CA"	0.213	1 
"06001"	"4222.00"	"015"	"Alameda CA"	0.261	1 
"06001"	"4223.00"	"015"	"Alameda CA"	0.216	1 
"06001"	"4224.00"	"015"	"Alameda CA"	0.184	1 
"06001"	"4225.00"	"015"	"Alameda CA"	0.178	1 
"06001"	"4226.00"	"015"	"Alameda CA"	0.663	1 
"06001"	"4227.00"	"015"	"Alameda CA"	0.133	1 
