"county","tract","cbsa","cntyname","cbsaname","hus10","afact","AFACT2"
"06001","4001.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1396,1,0.001
"06001","4002.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",915,1,0.001
"06001","4003.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2591,1,0.001
"06001","4004.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1903,1,0.001
"06001","4005.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1684,1,0.001
"06001","4006.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",757,1,0
"06001","4007.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1929,1,0.001
"06001","4008.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1733,1,0.001
"06001","4009.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1153,1,0.001
"06001","4010.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2658,1,0.002
"06001","4011.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2147,1,0.001
"06001","4012.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1296,1,0.001
"06001","4013.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1839,1,0.001
"06001","4014.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1764,1,0.001
"06001","4015.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1244,1,0.001
"06001","4016.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",919,1,0.001
"06001","4017.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1310,1,0.001
"06001","4018.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",800,1,0
"06001","4022.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",988,1,0.001
"06001","4024.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1168,1,0.001
"06001","4025.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",747,1,0
"06001","4026.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",656,1,0
"06001","4027.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",731,1,0
"06001","4028.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2317,1,0.001
"06001","4029.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",959,1,0.001
"06001","4030.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1732,1,0.001
"06001","4031.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",751,1,0
"06001","4033.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2236,1,0.001
"06001","4034.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",3071,1,0.002
"06001","4035.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2745,1,0.002
"06001","4035.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1296,1,0.001
"06001","4036.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2732,1,0.002
"06001","4037.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1915,1,0.001
"06001","4037.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1211,1,0.001
"06001","4038.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1975,1,0.001
"06001","4039.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2265,1,0.001
"06001","4040.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1831,1,0.001
"06001","4041.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1819,1,0.001
"06001","4041.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1706,1,0.001
"06001","4042.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1420,1,0.001
"06001","4043.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1395,1,0.001
"06001","4044.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2391,1,0.001
"06001","4045.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",710,1,0
"06001","4045.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2548,1,0.001
