"county"	"tract"	"state"	"placefp"	"stab"	"cntyname"	"placenm"	"pop10"	"afact"
"county"	"2010 Tract"	"FIPS state"	"placefp"	"State Postal Code"	"cntyname"	"Place Name"	"Total Pop, 2010 census"	"tract to placefp alloc factor"
"06001"	"4001.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2937	1 
"06001"	"4002.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	1974	1 
"06001"	"4003.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4865	1 
"06001"	"4004.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3703	1 
"06001"	"4005.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3517	1 
"06001"	"4006.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	1571	1 
"06001"	"4007.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4206	1 
"06001"	"4008.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3594	1 
"06001"	"4009.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2302	1 
"06001"	"4010.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	5678	1 
"06001"	"4011.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4156	1 
"06001"	"4012.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2416	1 
"06001"	"4013.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3528	1 
"06001"	"4014.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4314	1 
"06001"	"4015.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2630	1 
"06001"	"4016.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2163	1 
"06001"	"4017.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2667	1 
"06001"	"4018.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	1703	1 
"06001"	"4022.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2385	1 
"06001"	"4024.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2351	1 
"06001"	"4025.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	1784	1 
"06001"	"4026.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	1151	1 
"06001"	"4027.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	1569	1 
"06001"	"4028.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3345	1 
"06001"	"4029.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	1434	1 
"06001"	"4030.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2788	1 
"06001"	"4031.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2238	1 
"06001"	"4033.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4054	1 
"06001"	"4034.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4146	1 
"06001"	"4035.01"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4374	1 
"06001"	"4035.02"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	1991	1 
"06001"	"4036.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4482	1 
"06001"	"4037.01"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2587	1 
"06001"	"4037.02"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	1724	1 
"06001"	"4038.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3461	1 
"06001"	"4039.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3584	1 
"06001"	"4040.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2819	1 
"06001"	"4041.01"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2929	1 
"06001"	"4041.02"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2283	1 
"06001"	"4042.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3483	1 
"06001"	"4043.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3218	1 
"06001"	"4044.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	5314	1 
"06001"	"4045.01"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	1677	1 
"06001"	"4045.02"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	5784	1 
"06001"	"4046.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4353	1 
"06001"	"4047.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	1954	1 
"06001"	"4048.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2684	1 
"06001"	"4049.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4129	1 
"06001"	"4050.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3136	1 
"06001"	"4051.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4197	1 
"06001"	"4052.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4597	1 
"06001"	"4053.01"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2603	1 
"06001"	"4053.02"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2530	1 
"06001"	"4054.01"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3957	1 
"06001"	"4054.02"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3114	1 
"06001"	"4055.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3643	1 
"06001"	"4056.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3137	1 
"06001"	"4057.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3243	1 
"06001"	"4058.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3965	1 
"06001"	"4059.01"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3910	1 
"06001"	"4059.02"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3035	1 
"06001"	"4060.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3450	1 
"06001"	"4061.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4381	1 
"06001"	"4062.01"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4649	1 
"06001"	"4062.02"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4718	1 
"06001"	"4063.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4113	1 
"06001"	"4064.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2145	1 
"06001"	"4065.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	5930	1 
"06001"	"4066.01"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4596	1 
"06001"	"4066.02"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2493	1 
"06001"	"4067.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	5048	1 
"06001"	"4068.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3428	1 
"06001"	"4069.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3719	1 
"06001"	"4070.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	5885	1 
"06001"	"4071.01"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3414	1 
"06001"	"4071.02"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4351	1 
"06001"	"4072.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	6746	1 
"06001"	"4073.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2598	1 
"06001"	"4074.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3954	1 
"06001"	"4075.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3931	1 
"06001"	"4076.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	6027	1 
"06001"	"4077.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4109	1 
"06001"	"4078.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2425	1 
"06001"	"4079.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2706	1 
"06001"	"4080.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2671	1 
"06001"	"4081.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	5991	1 
"06001"	"4082.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4054	1 
"06001"	"4083.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4167	1 
"06001"	"4084.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3323	1 
"06001"	"4085.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4972	1 
"06001"	"4086.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	5492	1 
"06001"	"4087.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	7207	1 
"06001"	"4088.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	5547	1 
"06001"	"4089.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3414	1 
"06001"	"4090.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3552	1 
"06001"	"4091.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2255	1 
"06001"	"4092.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3152	1 
"06001"	"4093.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	5220	0.998 
"06001"	"4093.00"	"06"	"68084"	"CA"	"Alameda CA"	"San Leandro city, CA"	9	0.002 
"06001"	"4094.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4306	1 
"06001"	"4095.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3122	1 
"06001"	"4096.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	5063	1 
"06001"	"4097.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	4696	1 
"06001"	"4098.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2887	1 
"06001"	"4099.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3308	1 
"06001"	"4100.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2805	1 
"06001"	"4101.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2406	1 
"06001"	"4102.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3062	1 
"06001"	"4103.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3536	1 
"06001"	"4104.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	3792	1 
"06001"	"4105.00"	"06"	"53000"	"CA"	"Alameda CA"	"Oakland city, CA"	2193	1 
"06001"	"4201.00"	"06"	"00674"	"CA"	"Alameda CA"	"Albany city, CA"	2355	1 
"06001"	"4202.00"	"06"	"00674"	"CA"	"Alameda CA"	"Albany city, CA"	2898	1 
"06001"	"4203.00"	"06"	"00674"	"CA"	"Alameda CA"	"Albany city, CA"	4571	1 
"06001"	"4204.00"	"06"	"00674"	"CA"	"Alameda CA"	"Albany city, CA"	3124	1 
"06001"	"4205.00"	"06"	"00674"	"CA"	"Alameda CA"	"Albany city, CA"	2308	1 
"06001"	"4206.00"	"06"	"00674"	"CA"	"Alameda CA"	"Albany city, CA"	3283	1 
"06001"	"4211.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	1992	1 
"06001"	"4212.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3563	1 
"06001"	"4213.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3844	1 
"06001"	"4214.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	1593	1 
"06001"	"4215.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3640	1 
"06001"	"4216.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3558	1 
"06001"	"4217.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3198	1 
"06001"	"4218.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	2007	1 
"06001"	"4219.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3632	1 
"06001"	"4220.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	1756	1 
"06001"	"4221.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	2685	1 
"06001"	"4222.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3144	1 
"06001"	"4223.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3387	1 
"06001"	"4224.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	4196	1 
"06001"	"4225.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	4658	1 
"06001"	"4226.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	1215	1 
"06001"	"4227.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	4885	1 
"06001"	"4228.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	8368	1 
"06001"	"4229.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	4336	1 
"06001"	"4230.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	4396	1 
"06001"	"4231.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3964	1 
"06001"	"4232.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	2794	1 
"06001"	"4233.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3647	1 
"06001"	"4234.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	4685	1 
"06001"	"4235.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3118	1 
"06001"	"4236.01"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	2642	1 
"06001"	"4236.02"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	5659	1 
"06001"	"4237.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3633	1 
"06001"	"4238.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	2925	1 
"06001"	"4239.01"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	2020	1 
"06001"	"4239.02"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	1552	1 
"06001"	"4240.01"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3716	1 
