"county","tract","ua","cntyname","uaname","LandSQMI","afact"
"06001","4001.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",2.657,1
"06001","4002.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.23,1
"06001","4003.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.427,1
"06001","4004.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.272,1
"06001","4005.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.227,1
"06001","4006.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.115,1
"06001","4007.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.34,1
"06001","4008.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.268,1
"06001","4009.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.164,1
"06001","4010.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.446,1
"06001","4011.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.342,1
"06001","4012.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.258,1
"06001","4013.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.33,1
"06001","4014.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.292,1
"06001","4015.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.18,1
"06001","4016.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.246,1
"06001","4017.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",2.24,1
"06001","4018.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.115,1
"06001","4022.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.275,1
"06001","4024.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.13,1
"06001","4025.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.141,1
"06001","4026.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.123,1
"06001","4027.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.154,1
"06001","4028.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.154,1
"06001","4029.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.15,1
"06001","4030.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.136,1
"06001","4031.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.134,1
"06001","4033.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.358,1
"06001","4034.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.255,1
"06001","4035.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.257,1
"06001","4035.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.07,1
"06001","4036.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.151,1
"06001","4037.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.067,1
